status 1 gen muons for event 1
211, 0.416016, 8, 30
22, 0.111904, 6, 25
22, 0.241718, 0, 32
-211, 0.761841, 8, 32
211, 0.255584, 4, 39
-211, 0.143683, -4, 9
211, 0.142372, 1, 33
321, 0.418165, -17, 59
-211, 0.314828, 0, 48
130, 0.277165, -24, 47
211, 0.192822, -10, 36
-211, 0.290857, -14, 9
211, 0.127265, 5, 51
-211, 0.233825, -11, 57
22, 0.0886771, -28, 49
211, 0.166984, -12, 47
-211, 0.245769, -21, 69
-211, 0.368292, -30, 65
211, 0.236672, 0, 40
-211, 0.115468, -31, 45
22, 0.37844, 0, 25
22, 0.252971, -31, 28
22, 0.337749, 0, 33
22, 0.750788, -30, 40
-211, 1.52409, -30, 38
211, 0.208067, -31, 53
-2212, 0.609826, -30, 13
211, 0.102914, -29, 64
-211, 0.384508, -27, 24
211, 0.833947, 27, 14
22, 0.0516857, 23, 40
22, 0.0813257, 27, 1
-211, 0.164171, 29, 47
211, 0.51743, 29, 30
22, 0.337155, 28, 21
22, 0.212288, 28, 25
211, 0.924824, 23, 32
-211, 0.0431619, 30, 2
22, 0.1675, 26, 44
22, 0.87408, 24, 43
22, 0.0818441, -27, 13
22, 0.0932242, -14, 12
321, 0.281214, 17, 62
-211, 0.29998, -6, 63
-211, 0.464938, 16, 1
211, 0.563963, 14, 57
2212, 6.94879, 11, 66
-211, 1.61306, 12, 67
211, 4.77163, 12, 66
22, 0.197796, 2, 19
22, 2.82786, 4, 18
211, 0.558905, -2, 16
-211, 2.77294, 1, 11
-211, 0.0752362, -13, 12
-211, 1.01905, -24, 51
-211, 0.547259, -22, 42
211, 0.159727, -20, 6
22, 0.267777, 2, 65
22, 0.900801, 3, 62
22, 0.161929, -6, 57
22, 1.24795, -5, 60
22, 2.42916, 2, 64
22, 0.250779, 1, 66
22, 5.0094, 5, 65
22, 1.10198, 4, 66
-211, 7.4208, 3, 65
211, 3.05971, 3, 66
211, 81.1053, 2, 64
-211, 48.5481, 2, 64
211, 2.32174, -17, 58
310, 1.2278, -12, 51
-211, 0.746947, -3, 1
211, 0.358133, 3, 59
130, 2.45663, 8, 61
22, 0.361721, -7, 13
22, 0.0233041, -20, 23
-211, 1.373, 9, 21
211, 0.625046, 9, 24
211, 0.56888, -3, 28
-211, 0.240127, 16, 32
-211, 0.167443, 25, 31
321, 0.540402, -4, 71
-211, 0.338419, -2, 8
-321, 3.55951, 1, 71
-211, 0.797372, 0, 72
211, 0.196863, 4, 70
-211, 2.30163, 1, 72
211, 35.4362, 25, 27
-211, 244.268, 25, 27
22, 21.8032, 25, 27
22, 34.6266, 25, 27
211, 2.85245, 25, 28
22, 0.655965, 26, 26
22, 0.251545, 27, 24
-211, 0.123782, 28, 29
211, 0.401916, 26, 25
2212, 2.42618, 23, 35
211, 0.238076, 27, 22
-211, 0.336372, 9, 30
-2212, 1.27238, 24, 40
22, 4.52787, 16, 42
-211, 2.07159, 18, 42
211, 0.94392, 14, 44
-211, 2.97801, 18, 45
211, 2.4966, 19, 40
-211, 0.469689, -8, 14
211, 0.557042, 5, 69
211, 0.61809, 9, 22
-211, 0.406244, 9, 6
-211, 0.494681, 7, 72
211, 0.448488, 8, 70
211, 0.265837, 3, 45
-211, 0.315966, 16, 15
-211, 0.315353, 20, 47
211, 0.343924, 5, 64
211, 0.355812, 5, 55
-211, 1.03844, 9, 55
211, 0.258048, 8, 57
-211, 1.61246, 11, 53
-211, 0.304721, 22, 49
211, 0.185133, -4, 25
-211, 0.954551, 23, 67
211, 0.250107, 12, 70
211, 1.11496, 20, 1
310, 0.389035, 25, 4
-211, 0.431314, 12, 9
22, 0.983726, 3, 70
211, 3.01889, 3, 71
-211, 6.16095, 2, 70
-211, 3.08258, 3, 71
22, 8.1727, 2, 71
22, 0.975897, 2, 70
211, 11.4573, 1, 71
-211, 19.6614, 1, 71
22, 0.301702, -25, 18
22, 0.251171, -26, 52
-211, 0.385712, -23, 10
22, 0.476184, -31, 51
22, 0.0369826, -31, 63
22, 0.614078, 5, 24
22, 0.860936, 4, 22
22, 0.597362, 8, 19
211, 1.21923, 5, 18
-211, 1.28342, 4, 19
22, 3.08918, 3, 18
22, 5.92595, 3, 18
211, 2.73182, 3, 18
-211, 2.30305, 3, 18
211, 4.05103, 3, 19
-211, 3.99661, 4, 17
211, 0.740415, 5, 19
211, 1.65681, 4, 20
-211, 1.39849, 2, 21
-211, 6.37648, 2, 19
321, 1.57476, 6, 23
-211, 1.29618, 10, 21
-211, 0.656664, 2, 23
211, 1.27365, 7, 14
-2212, 1.84654, 8, 29
211, 0.330149, -4, 55
22, 0.231736, 0, 46
22, 0.297459, -11, 19
130, 0.366457, -19, 48
22, 0.173511, -24, 23
22, 0.242543, -27, 20
-211, 0.543456, -18, 8
321, 1.41892, -12, 5
22, 0.0957292, -21, 19
22, 1.28548, -17, 19
22, 0.214975, -6, 57
22, 0.0901218, -8, 68
-2112, 3.24522, -11, 3
211, 1.55754, -13, 5
130, 1.0744, -23, 70
22, 0.115814, -22, 52
-211, 0.184836, -17, 38
22, 0.0934529, -4, 6
22, 0.30543, -10, 72
130, 0.623723, 31, 49
22, 0.161819, 29, 55
22, 0.0810561, 27, 50
22, 0.104281, 28, 26
22, 0.279414, 28, 18
22, 0.0836907, 29, 14
22, 0.0909745, 31, 4
22, 0.50466, 31, 11
22, 0.101202, 30, 5
22, 0.0559391, 31, 67
22, 0.293083, 31, 6
22, 0.258988, 0, 69
22, 0.544879, 0, 72
22, 0.29442, 31, 70
22, 0.242526, 31, 2
22, 0.157712, 31, 40
22, 0.0410978, 29, 21
22, 0.141646, 28, 48
22, 0.401965, 28, 54
130, 0.507763, 9, 17
22, 0.0298992, -29, 2
22, 0.119964, -24, 26
22, 0.133964, -29, 13
22, 0.0932274, -31, 14
22, 0.0231898, 0, 18
22, 0.670404, 0, 16
22, 0.48005, 3, 8
22, 0.152309, 1, 13
22, 0.104416, 31, 9
22, 0.041796, 0, 39
22, 1.00164, -31, 40
22, 0.436675, -31, 39
22, 0.122588, -31, 15
22, 0.583338, -30, 11
22, 0.0836238, -31, 40
22, 0.0658631, -27, 42
22, 0.0436042, -13, 25
22, 0.168339, -3, 42
22, 0.122567, 13, 70
22, 0.0803656, 20, 55
22, 0.0242542, 20, 58
22, 0.126182, 1, 38
130, 0.761884, 21, 41
22, 0.165727, 26, 60
22, 0.023848, 29, 30
22, 0.33696, 20, 17
22, 1.88262, 20, 19
22, 0.206103, 20, 49
22, 0.024342, 1, 54
22, 0.00224107, -6, 53
22, 1.31807, 17, 51
310, 2.43788, 18, 41
22, 0.953286, 15, 38
22, 0.756171, 17, 38
211, 3.83429, 17, 40
3122, 24.007, 16, 39
3122, 3.05864, -21, 49
22, 0.0891954, -20, 41
310, 0.45063, -21, 52
22, 1.03329, -18, 54
22, 0.238304, -20, 52
310, 1.3339, -23, 53
22, 0.477116, -15, 51
22, 0.262079, -11, 52
22, 0.0848618, -1, 52
22, 0.283698, -11, 50
22, 0.155026, -10, 49
22, 0.607513, -12, 54
22, 0.32769, -14, 69
22, 0.266114, -19, 70
22, 0.0210471, 11, 48
22, 0.0454385, -22, 39
22, 0.0637008, 0, 71
22, 0.0457968, 16, 41
22, 0.0447013, 3, 70
22, 0.120411, 5, 23
22, 0.228631, 12, 39
22, 0.14109, 5, 35
22, 0.0638223, 2, 39
22, 0.671628, 0, 31
22, 0.118252, -2, 22
22, 0.708545, 2, 23
22, 0.165648, -22, 24
22, 0.0283196, -25, 55
22, 0.170909, -4, 45
22, 0.296835, -5, 38
211, 0.472634, -20, 56
-211, 0.258634, -29, 67
22, 0.040884, -25, 39
22, 0.267073, -14, 44
22, 0.10479, -29, 31
22, 0.201617, -29, 20
22, 0.281977, -31, 19
22, 0.136433, -30, 25
22, 0.592049, -28, 40
22, 0.0709706, -30, 41
310, 1.49708, 27, 17
22, 0.171901, 27, 13
22, 0.214353, 28, 7
310, 1.14327, 27, 8
22, 0.383452, 28, 31
22, 0.117816, 27, 27
22, 0.181431, 11, 67
22, 0.141849, 10, 57
22, 0.955172, 10, 65
22, 0.919264, 9, 66
22, 0.0906462, -4, 17
22, 2.00509, -1, 15
22, 0.0515385, -30, 54
22, 0.22363, -28, 46
22, 0.730936, 2, 65
22, 0.652066, 4, 64
22, 40.1816, 2, 64
22, 59.5864, 2, 64
22, 0.205558, -18, 58
22, 1.21211, -20, 61
130, 1.17505, -6, 67
310, 1.31333, 0, 70
22, 0.555354, 7, 19
22, 0.255482, 8, 23
22, 0.283049, 10, 33
22, 0.0956371, 2, 40
22, 1.35471, 0, 72
22, 2.23519, 0, 72
22, 0.907444, 1, 72
22, 2.07198, 0, 70
22, 0.563351, 6, 68
22, 0.49656, 3, 68
22, 4.4151, 25, 27
22, 10.3586, 25, 27
22, 0.705489, 24, 26
22, 0.755383, 25, 27
22, 0.00262732, 29, 39
11, 0.130596, 22, 33
-11, 1.12908, 22, 33
22, 0.380181, 22, 42
22, 0.297169, 24, 45
22, 0.866037, 20, 42
22, 0.508121, 18, 44
22, 1.00471, 19, 39
22, 5.35067, 19, 40
22, 1.93348, 16, 42
22, 0.979439, 16, 41
211, 0.218531, 11, 70
-211, 0.142004, 20, 5
